OBJECTID,School,CountyReport,Number_of_Total_Cases,ReportDate,
2691,Arbutus Middle School,Baltimore,3,10/20/21,15:00:00+00
2695,Bel Air Elementary School,Allegany,3,10/20/21,15:00:00+00
2709,Columbia Academy Elementary and Middle School,Howard,3,10/20/21,15:00:00+00
2713,Diamond Elementary School,Montgomery,3,10/20/21,15:00:00+00
2714,Dowell Elementary School,Calvert,3,10/20/21,15:00:00+00
2718,Easton Elementary School,Talbot,3,10/20/21,15:00:00+00
2722,Father Andrew White SJ School,St. Mary's,3,10/20/21,15:00:00+00
2724,Frank Hebron Harman Elementary,Anne Arundel,3,10/20/21,15:00:00+00
2739,Kenwood High School,Baltimore,3,10/20/21,15:00:00+00
2740,Kings Christian Academy,St. Mary's,3,10/20/21,15:00:00+00
2745,Logan Elementary School,Baltimore,3,10/20/21,15:00:00+00
2750,Mill Creek Middle School,Calvert,3,10/20/21,15:00:00+00
2752,Mother Mary Lange Catholic School,Baltimore City,3,10/20/21,15:00:00+00
2771,Parkville Middle School,Baltimore,3,10/20/21,15:00:00+00
2772,Patuxent Appeal Elementary School,Calvert,3,10/20/21,15:00:00+00
2779,Ridge Elementary School,St. Mary's,3,10/20/21,15:00:00+00
2780,Route 40 Elementary School,Garrett,3,10/20/21,15:00:00+00
2790,South-Dorchester K-8,Dorchester,3,10/20/21,15:00:00+00
2791,Southern High School,Anne Arundel,3,10/20/21,15:00:00+00
2798,St. Louis School,Howard,3,10/20/21,15:00:00+00
4,Annapolis Area Christian School - Upper School,Anne Arundel,2,10/29/20,14:00:00+00
8,Route 40 Elementary,Garrett,2,10/29/20,14:00:00+00
9,Eastern Elementary School,Washington,2,10/29/20,14:00:00+00
10,Clear Springs High School,Washington,2,10/29/20,14:00:00+00
14,Route 40 Elementary,Garrett,2,11/5/20,15:00:00+00
15,Clear Spring High,Washington,2,11/5/20,15:00:00+00
17,Greenwood Elementary,Somerset,2,11/5/20,15:00:00+00
20,Manor Woods Elementary,Howard,2,11/5/20,15:00:00+00
21,Cedar Ridge School,Washington,2,11/5/20,15:00:00+00
23,St. Andrew's Episcopal School,Montgomery,2,11/5/20,15:00:00+00
50,Route 40 Elementary,Garrett,2,11/11/20,15:00:00+00
52,Greenwood Elementary,Somerset,2,11/11/20,15:00:00+00
55,Manor Woods Elementary,Howard,2,11/11/20,15:00:00+00
58,St. Andrew's Episcopal School,Montgomery,2,11/11/20,15:00:00+00
59,St. Elizabeth School,Montgomery,2,11/11/20,15:00:00+00
61,Robert Moton Elementary,Carroll,2,11/11/20,15:00:00+00
62,Seaside Christian Academy,Worcester,2,11/11/20,15:00:00+00
63,McDonough School,Baltimore,2,11/11/20,15:00:00+00
66,St. Agnes Catholic School,Baltimore,2,11/11/20,15:00:00+00
67,North Point High School,Charles,2,11/11/20,15:00:00+00
70,Windy Hill Elementary School,Calvert,2,11/11/20,15:00:00+00
71,Truth Christian Academy,Washington,2,11/11/20,15:00:00+00
73,Living Hope Christian School,Somerset,2,11/11/20,15:00:00+00
74,Stephen Decatur High School,Worcester,2,11/11/20,15:00:00+00
75,Mount Saint Joseph,Baltimore City,2,11/11/20,15:00:00+00
78,Manor Woods Elementary,Howard,2,11/18/20,15:00:00+00
81,St. Andrew's Episcopal School,Montgomery,2,11/18/20,15:00:00+00
82,St. Elizabeth School,Montgomery,2,11/18/20,15:00:00+00
84,Robert Moton Elementary,Carroll,2,11/18/20,15:00:00+00
85,Seaside Christian Academy,Worcester,2,11/18/20,15:00:00+00
89,Saint Agnes Catholic School,Baltimore,2,11/18/20,15:00:00+00
90,North Point High School,Charles,2,11/18/20,15:00:00+00
93,Windy Hill Elementary School,Calvert,2,11/18/20,15:00:00+00
96,Stephen Decatur High School,Worcester,2,11/18/20,15:00:00+00
97,Mount Saint Joseph,Baltimore City,2,11/18/20,15:00:00+00
99,James M. Bennett High,Wicomico,2,11/18/20,15:00:00+00
100,Bais Yaakov School for Girls,Baltimore,2,11/18/20,15:00:00+00
102,St. Joseph's School,Baltimore,2,11/18/20,15:00:00+00
109,The Harbour School at Baltimore,Baltimore,2,11/18/20,15:00:00+00
151,Immaculate Heart of Mary School,Baltimore,2,11/25/20,15:00:00+00
152,James M. Bennett High,Wicomico,2,11/25/20,15:00:00+00
155,Mesivta Kesser Torah of Baltimore,Baltimore,2,11/25/20,15:00:00+00
159,Rosedale Baptist School,Baltimore,2,11/25/20,15:00:00+00
160,Running Brook Elementary,Howard,2,11/25/20,15:00:00+00
161,Severn School,Anne Arundel,2,11/25/20,15:00:00+00
162,St. Jerome's School,Prince George's,2,11/25/20,15:00:00+00
165,Stephen Decatur High School,Worcester,2,11/25/20,15:00:00+00
166,The Harbour School at Baltimore,Baltimore,2,11/25/20,15:00:00+00
178,Heritage Academy,Washington,2,12/2/20,15:00:00+00
181,Mesivta Kesser Torah of Baltimore,Baltimore,2,12/2/20,15:00:00+00
184,Rosedale Baptist School,Baltimore,2,12/2/20,15:00:00+00
185,Running Brook Elementary,Howard,2,12/2/20,15:00:00+00
188,Stephen Decatur High School,Worcester,2,12/2/20,15:00:00+00
189,The Harbour School at Baltimore,Baltimore,2,12/2/20,15:00:00+00
230,Heritage Academy,Washington,2,12/9/20,15:00:00+00
233,Mesivta Kesser Torah of Baltimore - 9th grade,Baltimore,2,12/9/20,15:00:00+00
235,Rosedale Baptist School,Baltimore,2,12/9/20,15:00:00+00
237,Stephen Decatur High School,Worcester,2,12/9/20,15:00:00+00
270,Beechfield Elementary/Middle,Baltimore City,2,12/16/20,15:00:00+00
272,Frederick Highschool,Frederick,2,12/16/20,15:00:00+00
274,Heritage Academy,Washington,2,12/16/20,15:00:00+00
277,Most Blessed Sacrament Catholic School,Worcester,2,12/16/20,15:00:00+00
280,Stephen Decatur High School,Worcester,2,12/16/20,15:00:00+00
287,Heritage Academy,Washington,2,12/23/20,15:00:00+00
298,West Frederick Middle School,Frederick,2,12/23/20,15:00:00+00
301,College Gardens Elementary,Montgomery,2,12/30/20,15:00:00+00
304,Heritage Academy,Washington,2,12/30/20,15:00:00+00
307,Ohr Chadash Academy,Baltimore City,2,12/30/20,15:00:00+00
314,West Frederick Middle School,Frederick,2,12/30/20,15:00:00+00
317,College Garden Elementary,Montgomery,2,1/6/21,15:00:00+00
319,Heritage Academy,Washington,2,1/6/21,15:00:00+00
320,Ohr Chadash Academy,Baltimore City,2,1/6/21,15:00:00+00
326,Wicomico Day School,Wicomico,2,1/6/21,15:00:00+00
339,Baltimore Montessori,Baltimore City,2,1/13/21,15:00:00+00
340,College Garden Elementary,Montgomery,2,1/13/21,15:00:00+00
341,Bishop McNamara High School,Prince George's,2,1/13/21,15:00:00+00
342,Columbia Academy,Howard,2,1/13/21,15:00:00+00
344,Harlem Park,Baltimore City,2,1/13/21,15:00:00+00
345,Heritage Academy,Washington,2,1/13/21,15:00:00+00
346,Ohr Chadash Academy,Baltimore City,2,1/13/21,15:00:00+00
385,College Garden Elementary,Montgomery,2,1/20/21,15:00:00+00
388,Harlem Park,Baltimore City,2,1/20/21,15:00:00+00
389,Heritage Academy,Washington,2,1/20/21,15:00:00+00
390,Salsbury Christian School,Wicomico,2,1/20/21,15:00:00+00
437,Cheder Chabad School,Baltimore City,2,1/27/21,15:00:00+00
438,DeMatha Catholic High School,Prince George's,2,1/27/21,15:00:00+00
440,Heritage Academy,Washington,2,1/27/21,15:00:00+00
443,Parr's Ridge Elementary,Carroll,2,1/27/21,15:00:00+00
445,Runnymede Elementary,Carroll,2,1/27/21,15:00:00+00
449,St. Mary's Ryken High School,St. Mary's,2,1/27/21,15:00:00+00
452,The Primary Day School,Montgomery,2,1/27/21,15:00:00+00
511,Cheder Chabad School,Baltimore City,2,2/3/21,15:00:00+00
512,DeMatha Catholic High School,Prince George's,2,2/3/21,15:00:00+00
514,Heritage Academy,Washington,2,2/3/21,15:00:00+00
522,Spaulding High School,Anne Arundel,2,2/3/21,15:00:00+00
525,St. Margaret's Elementary,Harford,2,2/3/21,15:00:00+00
526,St. Mary's Ryken High School,St. Mary's,2,2/3/21,15:00:00+00
529,The Country School,Talbot,2,2/3/21,15:00:00+00
531,William Winchester Elementary,Carroll,2,2/3/21,15:00:00+00
559,Bethel Christian Academy,Howard,2,2/10/21,15:00:00+00
561,Carroll Springs Elementary,Carroll,2,2/10/21,15:00:00+00
563,Cheder Chabad School,Baltimore City,2,2/10/21,15:00:00+00
593,Carroll Springs Elementary,Carroll,2,2/17/21,15:00:00+00
594,Catoctin Highschool,Frederick,2,2/17/21,15:00:00+00
596,Cheder Chabad School,Baltimore City,2,2/17/21,15:00:00+00
601,St. Martin's in the Field Episcopal School,Anne Arundel,2,2/17/21,15:00:00+00
627,Catoctin Highschool,Frederick,2,2/24/21,15:00:00+00
628,Cheder Chabad School,Baltimore City,2,2/24/21,15:00:00+00
630,Friends School of Baltimore,Baltimore City,2,2/24/21,15:00:00+00
631,Mount Saint Joseph High School,Baltimore City,2,2/24/21,15:00:00+00
632,Oklahoma Rd Middle School,Carroll,2,2/24/21,15:00:00+00
633,Rosedale Baptist School,Baltimore,2,2/24/21,15:00:00+00
635,Spring Ridge Middle School,St. Mary's,2,2/24/21,15:00:00+00
636,St. Martin's in the Field Episcopal School,Anne Arundel,2,2/24/21,15:00:00+00
640,Torah School of Greater Washington,Montgomery,2,2/24/21,15:00:00+00
661,Friends School of Baltimore,Baltimore City,2,3/3/21,15:00:00+00
662,Mechanicsville Elementary,Carroll,2,3/3/21,15:00:00+00
663,Mt. Aetna Adventist School,Washington,2,3/3/21,15:00:00+00
665,Odenton Christian School,Anne Arundel,2,3/3/21,15:00:00+00
667,Rosedale Baptist School,Baltimore,2,3/3/21,15:00:00+00
669,Spring Ridge Middle,St. Mary's,2,3/3/21,15:00:00+00
671,St. Martin's in the Field Episcopal School,Anne Arundel,2,3/3/21,15:00:00+00
674,Torah School of Greater Washington,Montgomery,2,3/3/21,15:00:00+00
695,The Bryn Mawr School ,Baltimore City,2,3/10/21,15:00:00+00
696,Friendship Valley Elementary,Carroll,2,3/10/21,15:00:00+00
697,Garrison Forest School,Baltimore,2,3/10/21,15:00:00+00
698,Leith Walk Elementary/Middle School,Baltimore City,2,3/10/21,15:00:00+00
703,Odenton Christian School,Anne Arundel,2,3/10/21,15:00:00+00
710,St. Ursula School,Baltimore,2,3/10/21,15:00:00+00
712,West Frederick Middle School,Frederick,2,3/10/21,15:00:00+00
714,White Marsh Elementary School,St. Mary's,2,3/10/21,15:00:00+00
715,Winters Mill High School,Carroll,2,3/10/21,15:00:00+00
743,The Bryn Mawr School ,Baltimore City,2,3/17/21,15:00:00+00
747,Hammond High School,Howard,2,3/17/21,15:00:00+00
749,KIPP Harmony Academy,Baltimore City,2,3/17/21,15:00:00+00
750,Leith Walk Elementary/Middle School,Baltimore City,2,3/17/21,15:00:00+00
758,Sabillasville Elementary School,Frederick,2,3/17/21,15:00:00+00
760,St. John Regional Catholic School,Frederick,2,3/17/21,15:00:00+00
765,St. Ursula School,Baltimore,2,3/17/21,15:00:00+00
770,White Marsh Elementary School,St. Mary's,2,3/17/21,15:00:00+00
771,Winston Churchill High School,Montgomery,2,3/17/21,15:00:00+00
772,Winter's Mill High School,Carroll,2,3/17/21,15:00:00+00
849,"Rochambeau, The French International School",Montgomery,2,3/24/21,15:00:00+00
850,Sabillasville Elementary School,Frederick,2,3/24/21,15:00:00+00
852,St. John Regional Catholic School,Frederick,2,3/24/21,15:00:00+00
856,Talmudical Academy - High School,Baltimore,2,3/24/21,15:00:00+00
857,The Norwood School,Montgomery,2,3/24/21,15:00:00+00
859,Waverly Elementary School,Howard,2,3/24/21,15:00:00+00
861,White Marsh Elementary School,St. Mary's,2,3/24/21,15:00:00+00
862,Winston Churchill High School,Montgomery,2,3/24/21,15:00:00+00
892,Archbishop Curley High School,Baltimore City,2,3/31/21,15:00:00+00
896,Boys' Latin School of Maryland,Baltimore City,2,3/31/21,15:00:00+00
901,Gilpin Manor Elementary School,Cecil,2,3/31/21,15:00:00+00
903,Holly Grove Christian School,Somerset,2,3/31/21,15:00:00+00
904,Howard High School,Howard,2,3/31/21,15:00:00+00
907,Liberty Christian School,Baltimore,2,3/31/21,15:00:00+00
908,McDonogh School,Baltimore,2,3/31/21,15:00:00+00
910,Montgomery Blair High School,Montgomery,2,3/31/21,15:00:00+00
913,Orchard Grove Elementary School,Frederick,2,3/31/21,15:00:00+00
915,Our Lady of Perpetual Help School,Howard,2,3/31/21,15:00:00+00
917,Patapsco High School,Baltimore,2,3/31/21,15:00:00+00
918,Pleasant Valley Elementary,Washington,2,3/31/21,15:00:00+00
919,Rising Sun High School,Cecil,2,3/31/21,15:00:00+00
920,River Hill High School,Howard,2,3/31/21,15:00:00+00
922,Rock Church Academy,Baltimore,2,3/31/21,15:00:00+00
925,Talbot Springs Elementary School,Howard,2,3/31/21,15:00:00+00
927,The Norwood School,Montgomery,2,3/31/21,15:00:00+00
929,White Marsh Elementary School,St. Mary's,2,3/31/21,15:00:00+00
931,Winston Churchill High School,Montgomery,2,3/31/21,15:00:00+00
932,Archbishop Curley High School,Baltimore City,2,4/7/21,15:00:00+00
938,Catonsville High School,Baltimore,2,4/7/21,15:00:00+00
942,Eastern Technical High School,Baltimore,2,4/7/21,15:00:00+00
943,Forest Lakes Elementary School,Harford,2,4/7/21,15:00:00+00
945,Gilpin Manor Elementary School,Cecil,2,4/7/21,15:00:00+00
947,Great Mills High School,St. Mary's,2,4/7/21,15:00:00+00
949,Howard High School,Howard,2,4/7/21,15:00:00+00
952,Laurel Hall,Washington,2,4/7/21,15:00:00+00
953,Liberty Christian School,Baltimore,2,4/7/21,15:00:00+00
955,Montgomery Blair High School,Montgomery,2,4/7/21,15:00:00+00
957,North Dorchester Middle School,Dorchester,2,4/7/21,15:00:00+00
958,Oakdale High School,Frederick,2,4/7/21,15:00:00+00
959,Orchard Grove Elementary School,Frederick,2,4/7/21,15:00:00+00
962,Our Lady of Perpetual Help School,Howard,2,4/7/21,15:00:00+00
964,Rising Sun High School,Cecil,2,4/7/21,15:00:00+00
965,Sherwood High School,Montgomery,2,4/7/21,15:00:00+00
967,Springfield Middle School,Washington,2,4/7/21,15:00:00+00
972,The Heights School,Montgomery,2,4/7/21,15:00:00+00
973,Tuscarora High School,Frederick,2,4/7/21,15:00:00+00
1019,Archbishop Curley High School,Baltimore City,2,4/13/21,15:00:00+00
1026,Catonsville High School,Baltimore,2,4/13/21,15:00:00+00
1028,Chopticon High School,St. Mary's,2,4/13/21,15:00:00+00
1034,Great Mills High School,St. Mary's,2,4/13/21,15:00:00+00
1035,Great Seneca Creek Elementary School,Montgomery,2,4/13/21,15:00:00+00
1036,Howard High School,Howard,2,4/13/21,15:00:00+00
1037,Laurel Hall School,Washington,2,4/13/21,15:00:00+00
1039,Marriotts Ridge High School,Howard,2,4/13/21,15:00:00+00
1042,North Dorchester Middle School,Dorchester,2,4/13/21,15:00:00+00
1044,Our Lady of Perpetual Help School,Howard,2,4/13/21,15:00:00+00
1046,Paul Laurence Dunbar High School,Baltimore City,2,4/13/21,15:00:00+00
1047,Rising Sun High School,Cecil,2,4/13/21,15:00:00+00
1048,Smithsburg High School,Washington,2,4/13/21,15:00:00+00
1049,Somerset Intermediate School,Somerset,2,4/13/21,15:00:00+00
1050,Springfield Middle School,Washington,2,4/13/21,15:00:00+00
1052,St. Mary School,Washington,2,4/13/21,15:00:00+00
1056,The Heights School,Montgomery,2,4/13/21,15:00:00+00
1101,Bel Air Elementary School,Harford,2,4/21/21,15:00:00+00
1104,Broadfording Christian Academy,Washington,2,4/21/21,15:00:00+00
1112,Golden Ring Middle School,Baltimore,2,4/21/21,15:00:00+00
1113,Great Seneca Creek Elementary School,Montgomery,2,4/21/21,15:00:00+00
1114,Honey Go Elementary School,Baltimore,2,4/21/21,15:00:00+00
1117,Marriotts Ridge High School,Howard,2,4/21/21,15:00:00+00
1118,Mount St. Joseph High School,Baltimore City,2,4/21/21,15:00:00+00
1121,Northern Middle School,Washington,2,4/21/21,15:00:00+00
1124,Rachel Carson Elementary School,Montgomery,2,4/21/21,15:00:00+00
1126,Rising Sun High School,Cecil,2,4/21/21,15:00:00+00
1130,Somerset Intermediate School,Somerset,2,4/21/21,15:00:00+00
1131,South Hagerstown High School,Washington,2,4/21/21,15:00:00+00
1133,St. Mary Catholic School,Washington,2,4/21/21,15:00:00+00
1139,The Jemicy School,Baltimore,2,4/21/21,15:00:00+00
1143,Bainbridge Elementary School,Cecil,2,4/28/21,15:00:00+00
1145,Bel Air Middle School,Harford,2,4/28/21,15:00:00+00
1148,Bryant's Wood Elementary School,Howard,2,4/28/21,15:00:00+00
1157,Huber Academy,Baltimore City,2,4/28/21,15:00:00+00
1162,Matapeake Elementary School,Queen Anne's,2,4/28/21,15:00:00+00
1164,Monarch Academy Annapolis,Anne Arundel,2,4/28/21,15:00:00+00
1167,Northern Middle School,Washington,2,4/28/21,15:00:00+00
1168,Rachel Carson Elementary School,Montgomery,2,4/28/21,15:00:00+00
1169,Reach Partnership School,Baltimore City,2,4/28/21,15:00:00+00
1172,South Hagerstown High School,Washington,2,4/28/21,15:00:00+00
1179,Thomson Estates Elementary School,Cecil,2,4/28/21,15:00:00+00
1186,Bel Air Middle School,Harford,2,5/5/21,15:00:00+00
1187,Berlin Intermediate School,Worcester,2,5/5/21,15:00:00+00
1189,Bryant's Wood Elementary School,Howard,2,5/5/21,15:00:00+00
1192,Carroll County Career Technology Center,Carroll,2,5/5/21,15:00:00+00
1194,Cecilton Elementary School,Cecil,2,5/5/21,15:00:00+00
1196,Fallston High School,Harford,2,5/5/21,15:00:00+00
1200,Hancock Elementary School,Washington,2,5/5/21,15:00:00+00
1203,Kent County High School,Kent,2,5/5/21,15:00:00+00
1204,KIPP Academy,Baltimore City,2,5/5/21,15:00:00+00
1208,Matapeake Elementary School,Queen Anne's,2,5/5/21,15:00:00+00
1209,McLean School,Montgomery,2,5/5/21,15:00:00+00
1212,Perryville Elementary School,Cecil,2,5/5/21,15:00:00+00
1213,Rachel Carson Elementary School,Montgomery,2,5/5/21,15:00:00+00
1214,Reach Partnership School,Baltimore City,2,5/5/21,15:00:00+00
1215,Renaissance Academy,Baltimore City,2,5/5/21,15:00:00+00
1216,Ring Factory Elementary School,Harford,2,5/5/21,15:00:00+00
1217,Roland Park Elementary/Middle,Baltimore City,2,5/5/21,15:00:00+00
1224,Stephen Decatur Middle School,Worcester,2,5/5/21,15:00:00+00
1226,Sudbrook Magnet Middle School,Baltimore,2,5/5/21,15:00:00+00
1229,Tri-State Christian Academy,Cecil,2,5/5/21,15:00:00+00
1231,Vincent Farms Elementary School,Baltimore,2,5/5/21,15:00:00+00
1236,Bais Yaakov Eva Winer High School,Baltimore,2,5/12/21,15:00:00+00
1238,Beall Elementary School,Montgomery,2,5/12/21,15:00:00+00
1241,Carroll County Career Technology Center,Carroll,2,5/12/21,15:00:00+00
1242,Cecilton Elementary School,Cecil,2,5/12/21,15:00:00+00
1243,Cedar Lane School,Howard,2,5/12/21,15:00:00+00
1245,DeMatha Catholic High School,Prince George's,2,5/12/21,15:00:00+00
1247,Hancock Elementary School,Washington,2,5/12/21,15:00:00+00
1248,Hickory Elementary School,Harford,2,5/12/21,15:00:00+00
1250,Kent County High School,Kent,2,5/12/21,15:00:00+00
1251,Kings Christian Academy,St. Mary's,2,5/12/21,15:00:00+00
1252,Landon School,Montgomery,2,5/12/21,15:00:00+00
1257,Mt. Airy Elementary School,Carroll,2,5/12/21,15:00:00+00
1258,Perryville Elementary School,Cecil,2,5/12/21,15:00:00+00
1260,Ring Factory Elementary School,Harford,2,5/12/21,15:00:00+00
1261,Roland Park Elementary/Middle,Baltimore City,2,5/12/21,15:00:00+00
1263,Salisbury Christian School,Wicomico,2,5/12/21,15:00:00+00
1267,Sudbrook Magnet Middle School,Baltimore,2,5/12/21,15:00:00+00
1270,Tome School,Cecil,2,5/12/21,15:00:00+00
1271,Tri-State Christian Academy,Cecil,2,5/12/21,15:00:00+00
1272,Vincent Farms Elementary School,Baltimore,2,5/12/21,15:00:00+00
1280,Berlin Intermediate School,Worcester,2,5/12/21,15:00:00+00
1309,Stephen Decatur Middle School,Worcester,2,5/12/21,15:00:00+00
1344,Pittsville Elementary & Middle School,Wicomico,2,5/12/21,15:00:00+00
1363,Bais Yaakov Eva Winer High School,Baltimore,2,5/19/21,15:00:00+00
1367,DeMatha Catholic High School,Prince George's,2,5/19/21,15:00:00+00
1368,Denton Elementary School,Caroline,2,5/19/21,15:00:00+00
1369,Dynard Elementary School,St. Mary's,2,5/19/21,15:00:00+00
1371,Hickory Elementary School,Harford,2,5/19/21,15:00:00+00
1374,Pittsville Elementary & Middle School,Wicomico,2,5/19/21,15:00:00+00
1375,Quince Orchard High School,Montgomery,2,5/19/21,15:00:00+00
1377,Seaside Christian Academy,Worcester,2,5/19/21,15:00:00+00
1379,St. Casimir Catholic School,Baltimore City,2,5/19/21,15:00:00+00
1381,Tome School,Cecil,2,5/19/21,15:00:00+00
1387,Deer Crossing Elementary School,Frederick,2,5/26/21,15:00:00+00
1388,DeMatha Catholic High School,Prince George's,2,5/26/21,15:00:00+00
1389,Denton Elementary School,Caroline,2,5/26/21,15:00:00+00
1390,Dynard Elementary School,St. Mary's,2,5/26/21,15:00:00+00
1393,Logan Elementary School,Baltimore,2,5/26/21,15:00:00+00
1394,Manchester Elementary School,Carroll,2,5/26/21,15:00:00+00
1395,Sandymount Elementary School,Carroll,2,5/26/21,15:00:00+00
1397,South Hagerstown High School,Washington,2,5/26/21,15:00:00+00
1400,St. Casimir Catholic School,Baltimore City,2,5/26/21,15:00:00+00
1401,Tome School,Cecil,2,5/26/21,15:00:00+00
1403,Western Heights Middle School,Washington,2,5/26/21,15:00:00+00
1426,Deer Crossing Elementary School,Frederick,2,6/2/21,15:00:00+00
1429,Logan Elementary School,Baltimore,2,6/2/21,15:00:00+00
1433,St. Mary's County Technical Center,St. Mary's,2,6/2/21,15:00:00+00
1435,Western Heights Middle School,Washington,2,6/2/21,15:00:00+00
1437,Calvin M. Rodwell Elementary/Middle School,Baltimore City,2,6/9/21,15:00:00+00
1439,Mt. Airy Elementary School,Carroll,2,6/9/21,15:00:00+00
1440,Smithsburg High School,Washington,2,6/9/21,15:00:00+00
1442,St. Mary's County Technical Center,St. Mary's,2,6/9/21,15:00:00+00
1443,Calvin M. Rodwell Elementary/Middle School,Baltimore City,2,6/16/21,15:00:00+00
1444,E. Russell Hicks Middle School,Washington,2,6/16/21,15:00:00+00
1447,Catherine T Reed Elementary School,Prince George's,2,7/28/21,15:00:00+00
1448,Boonsboro Middle School,Washington,2,7/28/21,15:00:00+00
1449,Gilpin Manor Elementary School,Cecil,2,7/28/21,15:00:00+00
1450,Pemberton Elementary School,Wicomico,2,7/28/21,15:00:00+00
1452,Gilpin Manor Elementary School,Cecil,2,8/4/21,15:00:00+00
1453,Harmony Hills Elementary School,Montgomery,2,8/4/21,15:00:00+00
1454,Hope Academy,Baltimore City,2,8/4/21,15:00:00+00
1456,Oakdale Elementary School,Frederick,2,8/4/21,15:00:00+00
1460,Digital Harbor High School,Baltimore City,2,8/11/21,15:00:00+00
1461,Harmony Hills Elementary School,Montgomery,2,8/11/21,15:00:00+00
1462,Hope Academy,Baltimore City,2,8/11/21,15:00:00+00
1464,Oakdale Elementary School,Frederick,2,8/11/21,15:00:00+00
1475,Century High School,Carroll,2,8/18/21,15:00:00+00
1476,Maryland School for the Blind,Baltimore City,2,8/18/21,15:00:00+00
1479,Butterfly Ridge Elementary School,Frederick,2,8/25/21,15:00:00+00
1480,Century High School,Carroll,2,8/25/21,15:00:00+00
1481,Gerstell Academy,Carroll,2,8/25/21,15:00:00+00
1482,Hillcrest Elementary School,Frederick,2,8/25/21,15:00:00+00
1484,Maryland School for the Blind,Baltimore City,2,8/25/21,15:00:00+00
1485,Orchard Grove Elementary School,Frederick,2,8/25/21,15:00:00+00
1486,Parkside High School,Wicomico,2,8/25/21,15:00:00+00
1488,Reginald F. Lewis High School,Baltimore City,2,8/25/21,15:00:00+00
1489,South Carroll High School,Carroll,2,8/25/21,15:00:00+00
1490,Steven Decatur High School,Worcester,2,8/25/21,15:00:00+00
1491,Success Program,Frederick,2,8/25/21,15:00:00+00
1492,Tuscarora Elementary School,Frederick,2,8/25/21,15:00:00+00
1494,Wicomico Day School,Wicomico,2,8/25/21,15:00:00+00
1495,Wicomico High School,Wicomico,2,8/25/21,15:00:00+00
1497,Atholton Adventist Academy,Howard,2,9/1/21,15:00:00+00
1499,Butterfly Ridge Elementary School,Frederick,2,9/1/21,15:00:00+00
1503,Damascus High School,Montgomery,2,9/1/21,15:00:00+00
1506,Friends School,Baltimore City,2,9/1/21,15:00:00+00
1507,Gerstell Academy,Carroll,2,9/1/21,15:00:00+00
1509,Hillcrest Elementary School,Frederick,2,9/1/21,15:00:00+00
1510,John L Gildner - RICA,Montgomery,2,9/1/21,15:00:00+00
1514,Monocacy Valley Montessori Public Charter School,Frederick,2,9/1/21,15:00:00+00
1515,Orchard Grove Elementary School,Frederick,2,9/1/21,15:00:00+00
1517,Potomac High School,Prince George's,2,9/1/21,15:00:00+00
1520,Seneca Valley High School,Montgomery,2,9/1/21,15:00:00+00
1524,Success Program,Frederick,2,9/1/21,15:00:00+00
1525,Thurmont Middle School,Frederick,2,9/1/21,15:00:00+00
1526,Tuscarora Elementary School,Frederick,2,9/1/21,15:00:00+00
1529,Westminster High School,Carroll,2,9/1/21,15:00:00+00
1532,Archbishop Neale School,Charles,2,9/8/21,15:00:00+00
1534,Atholton Adventist Academy,Howard,2,9/8/21,15:00:00+00
1536,Blue Heron Elementary School,Frederick,2,9/8/21,15:00:00+00
1538,Braddock Middle School,Allegany,2,9/8/21,15:00:00+00
1539,Broadfording Christian Academy,Washington,2,9/8/21,15:00:00+00
1540,Brunswick High School,Frederick,2,9/8/21,15:00:00+00
1541,Burning Tree Elementary School,Montgomery,2,9/8/21,15:00:00+00
1546,Dayton Elementary School,Howard,2,9/8/21,15:00:00+00
1548,Ducketts Lane Elementary School,Howard,2,9/8/21,15:00:00+00
1551,Friends School,Baltimore City,2,9/8/21,15:00:00+00
1554,Hammond High School,Howard,2,9/8/21,15:00:00+00
1563,Old Forge Elementary School,Washington,2,9/8/21,15:00:00+00
1565,Potomac High School,Prince George's,2,9/8/21,15:00:00+00
1567,Randallstown High School,Baltimore,2,9/8/21,15:00:00+00
1569,River Hill High School,Howard,2,9/8/21,15:00:00+00
1570,Saint Frances Academy,Baltimore City,2,9/8/21,15:00:00+00
1573,St. Philip-Neri School,Anne Arundel,2,9/8/21,15:00:00+00
1577,Trinity School,Howard,2,9/8/21,15:00:00+00
1579,Westminster High School,Carroll,2,9/8/21,15:00:00+00
1580,Whittier Elementary School,Frederick,2,9/8/21,15:00:00+00
1635,Arch Bishop Curley High School,Baltimore City,2,9/15/21,15:00:00+00
1636,Archbishop Neale School,Charles,2,9/15/21,15:00:00+00
1639,Bellow Springs Elementary School,Howard,2,9/15/21,15:00:00+00
1642,Broadneck High School,Anne Arundel,2,9/15/21,15:00:00+00
1644,Brunswick High School,Frederick,2,9/15/21,15:00:00+00
1646,Burning Tree Elementary School,Montgomery,2,9/15/21,15:00:00+00
1648,Calvert Hall College High School,Baltimore,2,9/15/21,15:00:00+00
1649,Career Center for Technical Education,Allegany,2,9/15/21,15:00:00+00
1655,Dayton Elementary School,Howard,2,9/15/21,15:00:00+00
1657,Don Bosco Cristo Rey High School,Montgomery,2,9/15/21,15:00:00+00
1659,Ducketts Lane Elementary School,Howard,2,9/15/21,15:00:00+00
1660,Emmitsburg Elementary School,Frederick,2,9/15/21,15:00:00+00
1661,Folly Quarter Middle School,Howard,2,9/15/21,15:00:00+00
