OBJECTID,School,CountyReport,Number_of_Total_Cases,ReportDate,
1957,Ohr Chadash Academy of Baltimore,Baltimore City,7,9/29/21,15:00:00+00
1968,Redeemer Classical Christian,Baltimore,7,9/29/21,15:00:00+00
1971,Rising Sun Middle School,Cecil,7,9/29/21,15:00:00+00
1979,Shady Spring Elementary School,Baltimore,7,9/29/21,15:00:00+00
2001,Sykesville Middle School,Carroll,7,9/29/21,15:00:00+00
2207,Centreville Middle School,Queen Anne's,7,10/6/21,15:00:00+00
2255,Kent Island High School,Queen Anne's,7,10/6/21,15:00:00+00
2268,Marley Elementary School,Anne Arundel,7,10/6/21,15:00:00+00
2269,Maryland International School of Sustainability and Technology,Washington,7,10/6/21,15:00:00+00
2280,New Town High School,Baltimore,7,10/6/21,15:00:00+00
2282,North Caroline High School,Caroline,7,10/6/21,15:00:00+00
2309,Reservoir High School,Howard,7,10/6/21,15:00:00+00
2310,Rising Sun Middle School,Cecil,7,10/6/21,15:00:00+00
2313,Seaside Christian Academy,Worcester,7,10/6/21,15:00:00+00
2353,Worthington Elementary School,Howard,7,10/6/21,15:00:00+00
2605,Middletown High School,Frederick,7,10/13/21,15:00:00+00
2613,North Caroline High School,Caroline,7,10/13/21,15:00:00+00
2624,Oakville Elementary School,St. Mary's,7,10/13/21,15:00:00+00
2636,Pocomoke Elementary School,Worcester,7,10/13/21,15:00:00+00
2641,Reservoir High School,Howard,7,10/13/21,15:00:00+00
2643,Rising Sun Middle School,Cecil,7,10/13/21,15:00:00+00
2655,St. John the Evangelist Catholic School,Baltimore,7,10/13/21,15:00:00+00
2674,Walkersville Middle School,Frederick,7,10/13/21,15:00:00+00
2756,North Caroline High School,Caroline,7,10/20/21,15:00:00+00
2774,Perryville Middle School,Cecil,7,10/20/21,15:00:00+00
2797,St. John the Evangelist Catholic School,Baltimore,7,10/20/21,15:00:00+00
2805,Summit Park Elementary,Baltimore,7,10/20/21,15:00:00+00
2817,White Marsh Elementary School,St. Mary's,7,10/20/21,15:00:00+00
68,Joppatowne Elementary School,Harford,6,11/11/20,15:00:00+00
91,Joppatowne Elementary School,Harford,6,11/18/20,15:00:00+00
148,Frederick Christian Academy,Frederick,6,11/25/20,15:00:00+00
156,Mount Saint Joseph,Baltimore City,6,11/25/20,15:00:00+00
170,Woodson Elementary School,Somerset,6,11/25/20,15:00:00+00
175,Frederick Christian Academy,Frederick,6,12/2/20,15:00:00+00
182,Mount Saint Joseph,Baltimore City,6,12/2/20,15:00:00+00
193,Woodson Elementary School,Somerset,6,12/2/20,15:00:00+00
234,Mount Saint Joseph,Baltimore City,6,12/9/20,15:00:00+00
239,Woodson Elementary School,Somerset,6,12/9/20,15:00:00+00
322,Rosedale Baptist School,Baltimore,6,1/6/21,15:00:00+00
325,Torah Institute of Baltimore,Baltimore,6,1/6/21,15:00:00+00
448,St. Francis de Sales Catholic School,Wicomico,6,1/27/21,15:00:00+00
515,Kings Christian Academy,St. Mary's,6,2/3/21,15:00:00+00
523,St. Francis de Sales Catholic School,Wicomico,6,2/3/21,15:00:00+00
573,The Primary Day School,Montgomery,6,2/10/21,15:00:00+00
597,DeMatha Catholic High School,Prince George's,6,2/17/21,15:00:00+00
629,DeMatha Catholic High School,Prince George's,6,2/24/21,15:00:00+00
672,St. Thomas More Academy,Frederick,6,3/3/21,15:00:00+00
759,Sparrows Point High School,Baltimore,6,3/17/21,15:00:00+00
766,Stepping Stones Learning Academy,Wicomico,6,3/17/21,15:00:00+00
841,Immaculate Conception School,Baltimore,6,3/24/21,15:00:00+00
854,Stepping Stones Learning Academy,Wicomico,6,3/24/21,15:00:00+00
882,Stepping Stones Learning Academy,Wicomico,6,3/24/21,15:00:00+00
923,Snow Hill Middle School,Worcester,6,3/31/21,15:00:00+00
924,Stepping Stones Learning Academy,Wicomico,6,3/31/21,15:00:00+00
926,Talmudical Academy Elementary School,Baltimore,6,3/31/21,15:00:00+00
930,Williamsport High School,Washington,6,3/31/21,15:00:00+00
937,Calvert Hall College High School,Baltimore,6,4/7/21,15:00:00+00
966,Snow Hill Middle School,Worcester,6,4/7/21,15:00:00+00
968,St. John the Evangelist School,Anne Arundel,6,4/7/21,15:00:00+00
971,Talmudical Academy Elementary School,Baltimore,6,4/7/21,15:00:00+00
974,Walkersville High School,Frederick,6,4/7/21,15:00:00+00
1025,Calvert Hall College High School,Baltimore,6,4/13/21,15:00:00+00
1051,St. John the Evangelist School,Anne Arundel,6,4/13/21,15:00:00+00
1058,Walkersville High School,Frederick,6,4/13/21,15:00:00+00
1111,Fulton Elementary School,Howard,6,4/21/21,15:00:00+00
1144,Baltimore Design School,Baltimore City,6,4/28/21,15:00:00+00
1171,Smithsburg High School,Washington,6,4/28/21,15:00:00+00
1174,Springfield Middle School,Washington,6,4/28/21,15:00:00+00
1184,Baltimore Design School,Baltimore City,6,5/5/21,15:00:00+00
1210,New Market Middle School,Frederick,6,5/5/21,15:00:00+00
1220,Smithsburg High School,Washington,6,5/5/21,15:00:00+00
1466,Potomac Glen Day School,Montgomery,6,8/11/21,15:00:00+00
1477,Potomac Glen Day School,Montgomery,6,8/18/21,15:00:00+00
1502,Chopticon High School,St. Mary's,6,9/1/21,15:00:00+00
1544,Century High School,Carroll,6,9/8/21,15:00:00+00
1574,Steven Decatur High School,Worcester,6,9/8/21,15:00:00+00
1637,Arundel Christian School,Anne Arundel,6,9/15/21,15:00:00+00
1651,Cedarmere Elementary School,Baltimore,6,9/15/21,15:00:00+00
1680,Leonardtown High School,St. Mary's,6,9/15/21,15:00:00+00
1689,Mountain Ridge High School,Allegany,6,9/15/21,15:00:00+00
1692,Northeast High School,Anne Arundel,6,9/15/21,15:00:00+00
1716,Steven Decatur High School,Worcester,6,9/15/21,15:00:00+00
1724,Walkersville High School,Frederick,6,9/15/21,15:00:00+00
1867,Calvin M. Rodwell Elementary/Middle School,Baltimore City,6,9/29/21,15:00:00+00
1908,Hancock Middle-Senior High School,Washington,6,9/29/21,15:00:00+00
1909,Hannover Hills Elementary School,Howard,6,9/29/21,15:00:00+00
1912,Haver De Grace Elementary School,Harford,6,9/29/21,15:00:00+00
1925,Linton Springs Elementary School,Carroll,6,9/29/21,15:00:00+00
1932,Maryland School for the Deaf,Frederick,6,9/29/21,15:00:00+00
1942,New Town High School,Baltimore,6,9/29/21,15:00:00+00
1944,North Caroline High School,Caroline,6,9/29/21,15:00:00+00
1955,Oakdale Middle School,Frederick,6,9/29/21,15:00:00+00
